esperanto,english,cefr_level,is_suspicious
"Estas proksime de la stacidomo, sed malproksime de la hejmo.",It is close to the station but far from home .,A,False
Li devas klarigi ĝin.,He needs to make it clear .,A,False
"Li diris, ke li devis veni.",He said he had to come .,A,False
"Mi deziras scii, kiu penetris nian domon.",I wish I knew who broke in to our house .,A,False
"Mi deziras, ke mi povu diri al vi, kiu respondecas pri tio, sed ni neniam povas scii ĝin.","I wish I could tell you who was responsible , but we may never know .",A,False
Li promenis ĉirkaŭ la ĝardeno.,He walked around the garden .,A,False
Ŝi ne volas tiun ĉi.,She does n't want this one .,A,False
"Mi ne scias, kien mi iras.",I do n't know where I 'm going .,A,False
"Mi ne sciis, kien vi iris.",I did n't know where you went .,A,False
Ni vidis brunan muson kuri trans la straton .,We saw a brown mouse run across the road .,A,False
Vi havas nenion plu.,You have nothing left .,A,False
Multaj aferoj estis rompitaj.,Many things were broken .,A,False
Ĉu vi purigis viajn dentojn?,Did you brush your teeth ?,A,False
Ĉu vi ŝanĝis vian hararanĝon?,Have you changed your hairstyle ?,A,False
Mi ne ŝanĝis ion ajn.,I have n't changed anything .,A,False
Mi estas tre kontenta pri la vivo kaj ĉiutage estas plena de rido.,I am very content with life and every day is filled with laughter .,A,False
Mi neniam vidis filmon pri ranoj.,I 've never seen a movie about frogs .,A,False
Ĉu vi estas sur la hokeo-teamo?,Are you on the field hockey team ?,A,False
Ĉu iu povas pruntedoni al mi krajonon?,Can anyone lend me a pencil ?,A,False
Li malsukcesis en la ekzameno fariĝi fajrobrigadano.,He failed the test to become a firefighter .,A,False
Ne ĉiuj homoj ŝatas preni siajn fotojn.,Not all people like to have their pictures taken .,A,False
La hundo lernis sidi .,The dog learned to sit .,A,False
Ni povas observi la aviadilojn de ĉi tie.,We can watch the planes from here .,A,False
Ĉiuj serĉis la mankantajn knabojn.,Everyone looked for the missing boys .,A,False
Kiu estas la israela ĉefministro nun?,Who is the Israeli prime minister now ?,A,False
Ni dungis novan ĝardeniston.,We hired a new gardener .,A,False
Li falis sur siajn genuojn.,He fell on his knees .,A,False
"Mi diris, ke tiu filmo devas esti bona.",I said this movie must be good .,A,False
"Ni estis tre proksimaj al Francio , sed la flugo estis nuligita.","We were very close to going to France , but the flight was canceled .",A,False
"Tio estis la tago, kiam ni vidis ĝin .",That was the day when we saw it .,A,False
Mi parolis kun ĉiuj gepatroj krom lia estado.,I 've spoken with all the parents except for his .,A,False
Mi ne ŝatas porti jupojn dum vintro.,I do n't like wearing skirts during winter .,A,False
"Mi aĉetas, kie mi vidas feliĉajn dungitojn.",I shop where I see happy employees .,A,False
Ĉu vi freneziĝis?,Have you lost your mind ?,A,False
"Mi scivolas, kial la homoj ankoraŭ mortas pro venteblaj malsanoj.",I wonder why people still die of curable diseases .,A,False
"Li estas la viro, kies filino mankas .",He is the man whose daughter is missing .,A,False
"Ĉi tiuj sportŝuoj estas tiom molaj, ke mi povus porti ilin por dormi en .",These sneakers are so soft I could wear them to sleep in .,A,False
Ĉu vi ricevis kion vi volis?,Did you get what you wanted ?,A,False
"Li ne sciis, kiel li devas diri tion.",He did n't know how he should state that .,A,False
"Ili kolerus, se ŝi ankaŭ estus irinta.",They 'd be angry if she had gone too .,A,False
"Ŝi diris, ke ŝi vidis neniun dum la tuta nokto.",She said she has not seen anyone all night .,A,False
"Ne ĉiuj plenkreskuloj ĉiam pravas pri tio, kion ili faras aŭ diras.",Not all adults are always correct in what they do or say .,A,False
Tio helpos al ili plibonigi ĝin.,This will help them to improve .,A,False
Majo estas la nuna peza ĉampiono de la ĉampiono.,Mayweather is the current heavy weight champion .,A,False
Li antaŭ nelonge komencis skatolojn.,He recently started boxing .,A,False
Mia flugo forveturos je la dua horo.,My flight leaves at two o'clock .,A,False
La latina estas mortinta lingvo.,Latin is a dead language .,A,False
Ni longe atendis ŝian alvenon.,We waited a long time for her arrival .,A,False
"Ili deziras, ke ili povu esti feliĉaj.",They wish they could be happy .,A,False
Mi estas alta manaĝisto en malgranda kompanio.,I am a high- level manager in a small company .,A,False
Viro vestis sin kiel policisto starigis demandojn.,A man dressed as a policeman was asking questions .,A,False
Mi ŝatas mian monremonan puloveron!,I love my cashmere sweater !,A,False
"Mi diris al ŝi, ke ŝi telefonu al mi, se estas iu novaĵo en lia kondiĉo.",I told her to call me if there was any news on his condition .,A,False
La parko proksime de nia domo memorigas min pri nia unua rendevuo.,The park near our house reminds me of our first date .,A,False
La Argo Hoshirito estis konstruita en la 1980-aj jaroj.,The Seto Ohashi Bridge was built in the 1980s .,A,False
Ĉu estis hundoj en la parko?,Were there dogs at the park ?,A,False
La instruisto amas pludi sur min.,The teacher loves picking on me .,A,False
La aŭtovojo estas pli rapida.,The highway is faster .,A,False
"Tio estas areo, kie la plej multaj homoj stiras pli ol promeni.",This is an area where most people drive rather than walk .,A,False
Mi estis ekscitita ĉar Sanktaella kaj mi havis 500 dolarojn por dividi inter ni ambaŭ .,I was excited because Stella and I had 500 dollars to share between the two of us .,A,False
Mi malsanas ekde la mateno.,I have been ill since morning .,A,False
"Estis tiam, kiam vi malsaniĝis.",It was that time when you got sick .,A,False
Ĉu la hundo sekuras por dorlotbestoj?,Is the dog safe to pet ?,A,False
"Ĉu vi scias, kion la infanoj vespermanĝis hieraŭ vespere?",Do you know what the kids ate for dinner last night ?,A,False
"Se ili estus irintaj norden, ni povus sekvi ilin.","If they had gone north , we could have followed them .",A,False
Ne plu estas akvo.,There is no more water .,A,False
Ĉu estas sufiĉe da akvo?,Is there enough water ?,A,False
"Ŝia rideto diris al mi ĉion, kion mi bezonas scii.",Her smile told me everything I needed to know .,A,False
Ni estas kontraŭ elefanto ĉasanta.,We are against elephant hunting .,A,False
La pordoj devas esti ŝlositaj je noktomezo.,The doors must be locked by midnight .,A,False
Ni iris al Anglujo kaj ankaŭ al Francio.,We have been to England as well as to France .,A,False
"Ĉar ŝi ne fartis bone hodiaŭ, ŝi malbone laboris.","Since she was n't feeling well today , she was working badly .",A,False
Bonvolu peti vian patron telefoni al mi.,Please ask your father to call me .,A,False
Ĉu estis viro aŭ virino en la aŭto?,Was there a man or a woman in the car ?,A,False
Ĉu estas problemo?,Is there a problem ?,A,False
Ne estas sufiĉe da salo.,There 's not enough salt .,A,False
"Ŝi ne scias, kion ŝi faras.",She does n't know what she is doing .,A,False
Kiu volas konduki la vojon?,Who wants to lead the way ?,A,False
"Se mi estus trovita en nova urbo, mi farus vojaĝon.","If I found myself in a new city , I 'd take a tour .",A,False
Freestyle neĝegilo nun estas olimpia sporto.,Freestyle snowboarding is now an Olympic sport .,A,False
"Via patrino rakontis al mi ĉion pri via nova laboro, kiam mi telefonis hieraŭ vespere.",Your mother told me all about your new job when I called last night .,A,False
Ŝi sidis ĉe la tablo antaŭ nia eto.,She sat at the table in front of ours .,A,False
Ŝi metis marmeladon sur sian toaston.,She put jam on her toast .,A,False
La plasta seĝo estas rompita.,The plastic chair is broken .,A,False
Ŝi donis al li novan tason.,She gave him a new cup .,A,False
Li jam malfermis ĉiujn siajn naskiĝtagajn donacojn.,He has already opened all his birthday gifts .,A,False
Rigardu tiun falstelon!,Look at that shooting star !,A,False
"Mi ne scias, kial li malamas min.",I do n't know why he dislikes me .,A,False
"Mi ŝatus, ke vi renkontu miajn gepatrojn .",I 'd like you to meet my parents .,A,False
"Mi deziras, ke ŝi povintus pardoni lin.",I wish she could have forgiven him .,A,False
"Se li estis kelkajn jarojn pli aĝa, li povus aliĝi al .","If he was a few years older , he could join .",A,False
"Se estus mi, mi aliĝos al .","If it were me , I 'd join .",A,False
Ĉu vi povas teni sekreton?,Can you keep a secret ?,A,False
"Mi sentis min malĝoja, spektante tiun filmon.",I felt sad after watching that movie .,A,False
Ni havis omaron por kukea tagmanĝo.,We had lobster for Jake 's birthday dinner .,A,False
Estas truo en mia sportŝuejo.,There is a hole in my sneakers .,A,False
En ŝia hararo estis folioj.,There were leaves in her hair .,A,False
Stadiona nutraĵo estas multekosta.,Stadium food is expensive .,A,False
"Ŝi estis la virino, kies nomon oni forgesis.",She was the woman whose name was forgotten .,A,False
Ŝi serĉis sian hundon.,She went looking for her dog .,A,False
Ĉu vi ĵus alvenis?,Have you just arrived ?,A,False
Ŝi ĵus sendis leteron al mi.,She 's just sent me a letter .,A,False
"Se li iris sabate vespere, povus esti malpli da trafiko.","If he went on Saturday , there might be less traffic .",A,False
"Se li estus mia patro, mi skribus al li.","If he were my father , I 'd write him .",A,False
Mia nepo vizitas ofte.,My grandson visits often .,A,False
Estas preskaŭ nia domo.,It is close to our house .,A,False
"Li neniam aŭskultas, kion mi diras.",He never listens to what I say .,A,False
Tro da ventoj por sidi ekstere.,It 's too windy to sit outside .,A,False
Estas malfacile vidi vin en doloro.,It is difficult to see you in pain .,A,False
Liz vekiĝis kviete.,Liz got up quietly .,A,False
Ĉu estis homoj ĉe la koncerto?,Were there people at the concert ?,A,False
"Ĉu vi scias, kiun libron li legis?",Do you know what book he was reading ?,A,False
Mi perdis mian oran ringon.,I lost my gold ring .,A,False
Ĉu vi studis la francan?,Have you been studying French ?,A,False
Tiu parkejo estas plena.,That parking lot is full .,A,False
Mia aŭto estis damaĝita en tiu parkejo.,My car was damaged in that parking lot .,A,False
Estas planoj konstrui novan bibliotekon en mia lernejo.,There are plans to build a new library at my school .,A,False
Ĉu vi jam tagmanĝis?,Have you already had your lunch ?,A,False
"Ĉiutage li diras al sia edzino, ke li ne zorgu, sed mi scias, ke ŝi faras tion.",Every day he tells his wife not to worry but I know she does .,A,False
Jill estis ĉiam ekscitita por manĝi melonojn.,Jill was always excited to eat melons .,A,False
Mi bezonas lokon por meti mian sakon.,I need a place to put my bag .,A,False
Tio estas mia sako.,This is my bag .,A,False
Louis trovas modon interesa.,Louis finds fashion interesting .,A,False
Li jam foriris al sia klaso .,He has already left for his class .,A,False
Gloria ĉiam surhavis tre grandajn orelringojn.,Gloria always wore very big earrings .,A,False
Jack tenis blankan muson kiel dombeston.,Jack kept a white mouse as a pet .,A,False
Ni ne volis veki la dormantajn knabinojn.,We did n't want to wake the sleeping girls .,A,False
"Ŝi komencis nombri ŝafojn, por ke ŝi povu dormi .",She started counting sheep so she could sleep .,A,False
"Neniu el ili kredis, ke ili gajnos.",None of them were confident they would win .,A,False
"Mi deziras, ke ili ĉesu frapi mian pordon.",I wish they would stop knocking on my door .,A,False
Turkujo estis ŝia preferata sandviĉo.,Turkey sandwich was her favorite .,A,False
Ĉu vi restis sendorma malfrue?,Have you been staying up late ?,A,False
"Mi ne scias, kiel li faris ĝin.",I do n't know how he did it .,A,False
Li ne scias kiel fari ĝin .,He does n't know how to do it .,A,False
"Mi ne atendas la tagon, kiam ni havas flugantajn aŭtojn.",I ca n't wait for the day when we have flying cars .,A,False
Ne estis multaj naĝantoj en la akvo .,There were not many swimmers in the water .,A,False
"Se ni ĉiuj estus similaj, la vivo estus enuiga.","If we were all alike , life would be boring .",A,False
Ĉiuj pladoj estis rompitaj en la tertremo.,All the dishes were broken in the earthquake .,A,False
Vi ne tro proksimiĝu al la fajro.,You must not get too close to the fire .,A,False
"Mi deziras, ke ŝi povintus vidi ĝin.",I wish she could have seen it .,A,False
"Ni intencis iri kune, sed ŝi malsaniĝis.","We were planning to go together , but she got sick .",A,False
Ŝi ofte surhavis sian piĵamon ĝis tagmezo.,She often wore her pajamas until noon .,A,False
Kie estas la infanoj?,Where are the kids ?,A,False
Li neniam parolas pri sia eksedzino.,He never talks about his ex-wife .,A,False
La instruisto petis lin fermi la fenestrojn.,The teacher asked him to close the windows .,A,False
Patrino ĝojis finfine akiri novan hundon post kiam Daisy mortis.,Mother was happy to finally get a new dog after Daisy died .,A,False
Ĉu neĝas ĉi tie?,Does it snow here ?,A,False
Li sentis sian bruston pli bone.,He felt his chest tighten .,A,False
Tiu estis la momento kiam ili kantis .,That was the moment when they sang .,A,False
Malmultaj homoj ŝatis ŝin.,Few people liked her .,A,False
Estas piedpilkosezono en Usono.,It 's football season in America .,A,False
Vi ĉiuj devus foriri.,All of you should leave .,A,False
Bonvolu redoni mian libron laŭeble plej baldaŭ.,Please return my book as soon as possible .,A,False
Ĉu vi renkontis nian fraton?,Have you met our brother ?,A,False
Mi ne ŝatas pezan metalan muzikon.,I do n't like heavy metal music .,A,False
"Sinjorino Gaga estas virino, kiun multaj junuloj ĝuas.",Lady Gaga is a woman whom many young people enjoy .,A,False
Mi interesiĝis pri Japanio.,I became interested in Japan .,A,False
Tiuj domoj estis konstruitaj antaŭ la milito.,These houses were built before the war .,A,False
Estas malmultaj knabinoj en la piedpilka teamo .,There are few girls in the soccer team .,A,False
"La virino, kiu aŭskultas la muzikon, aspektis tiel feliĉa.",The woman listening to the music looked so happy .,A,False
Ŝi kuiras por sia malgranda frato.,She cooks for her little brother .,A,False
Ŝia frateto ŝatis kolekti tranĉilojn.,Her little brother liked collecting pocket knives .,A,False
Ili geedziĝis en Romo.,They were married in Rome .,A,False
La instruisto ofte donis ĉokoladon.,The teacher often gave out chocolate .,A,False
"Mi deziras, ke mi povu trovi miajn gepatrojn .",I wish I could find my real parents .,A,False
"Mi deziras, ke ni povintus iri al kinejo .",I wish we could have gone to the movies .,A,False
La piedpilka stadiono estis plena de admirantoj .,The soccer stadium was full of fans .,A,False
La viando ankoraŭ estis iom tro kruda.,The meat was still a little too raw .,A,False
Ankaŭ mi ne estas malgaja.,I am not sad either .,A,False
Lia avo emeritiĝis lastan jaron.,His grandfather retired last year .,A,False
Mi preferas mildajn klimatojn .,I prefer mild climates .,A,False
"Tio estis ŝia , kaj ŝi donis ĝin al mi kelkajn jarojn antaŭ ol ŝi mortis.","This was hers , and she gave it to me a few years before she died .",A,False
Li ĉiam havis dentpikilon en sia buŝo.,He always had a toothpick in his mouth .,A,False
Ŝi faros ĝin tuj kiam ŝi revenos el la tagmanĝo.,She will do it as soon as she comes back from lunch .,A,False
"Ĉu vi volas, ke mi portu tion por vi?",Would you like me to carry that for you ?,A,False
Li devis porti kravaton al laboro.,He had to wear a tie to work .,A,False
Hodiaŭ estas plia labortago.,Today is another weekday .,A,False
Vi povas uzi niajn .,You can use ours .,A,False
"Mi deziras, ke mi havu katon .",I wish I had a cat .,A,False
Mia presilo ne plu havas inkon.,My printer ran out of ink .,A,False
Ŝiaj okuloj estis fermitaj .,Her eyes were closed .,A,False
"Mi deziras, ke mi povu eliri ĉi-vespere.",I wish I could go out tonight .,A,False
"Mi forlasis la domon ĝustatempe, sed la trajno malfruis.",I left the house on time but the train was late .,A,False
Vi ambaŭ malfruas.,Both of you are late .,A,False
Estas instruisto de Francio .,There is a teacher from France .,A,False
Estis knabino hieraŭ mortigita ĉi tie.,There was a girl killed here yesterday .,A,False
Li kuris ĉirkaŭ la parko .,He ran around the park .,A,False
Li kuris trans la korbopilkan korton.,He ran across the basketball court .,A,False
"Li demandis la instruiston, kion fari.",He asked the teacher what to do .,A,False
Mi sentas necese paroli .,I feel it necessary to speak up .,A,False
Ni malofte vidas unu la alian.,We rarely see each other .,A,False
Ni ankoraŭ ne renkontiĝis .,We have n't met yet .,A,False
Ĉiu bezonas sanigan manĝaĵon.,Everyone needs healthy food .,A,False
"Carie sciis, ke ŝia fratino estas feliĉa.",Carrie knew her sister was happy .,A,False
Ĉu vi donus al mi tiun blankan?,Would you hand me that white one ?,A,False
"Ĉu vi pensas, ke vi ŝanĝiĝis de tio, kion vi vidis?",Do you think you were changed by what you saw ?,A,False
Mi ne vidis ŝin ekde nia mezlernejo kune.,I have n't seen her since we were in high school together .,A,False
Li premis la folion en la paĝoj de malnova libro.,He pressed the leaf in the pages of an old book .,A,False
"Mi deziras, ke mi povu trovi mian alian ŝtrumpeton.",I wish I could find my other sock .,A,False
Ni vivis en Tokio dum longa tempo.,We 've lived in Tokyo for a long time .,A,False
Tio ĉi estas farita el papero.,This is made of paper .,A,False
La kokino estas pli sana ol bovaĵo.,Chicken is healthier than beef .,A,False
"Mi neniam renkontis lian koramikinon, sed mi vidis ŝin .",I have never met his girlfriend but I have seen her .,A,False
Li havas koramikinon.,He 's got a girlfriend .,A,False
Mi naskiĝis ĉi tie.,I was born here .,A,False
Mi ne ĉiam aŭskultas muzikon.,I do not always listen to music .,A,False
"Mi ne certas, kiam uzi tiun nekutiman forkon.",I 'm not sure when to use this unusual fork .,A,False
Ci ne dorlotas hundojn aŭ policon.,You ca n't pet service dogs or police dogs .,A,False
Ŝi kuras tre rapide.,She runs very fast .,A,False
"Mi ne scias, kiu ŝi estas.",I do n't know who she is .,A,False
La areo estis plej bona konata pro iliaj ananasoj.,The area was best known for their pineapples .,A,False
Ŝi instruis siajn infanojn esti ĝentila.,She taught her children to be polite .,A,False
Mi deziras esti sciencisto.,I wish I could be a scientist .,A,False
Li ĉiam boligis sian brokolon.,He always boiled his broccoli .,A,False
"Mi deziras, ke mi sciintus ĝin.",I wish I had known .,A,False
La donaco komencis paroli .,The presenter started to speak .,A,False
"Ĉu vi povas instrui al ŝi, kiel ŝi iru?",Can you teach her how to walk ?,A,False
"Vi devas instrui al ŝi, kien ŝi iru.",You must teach her where to go .,A,False
Ĉu jam estas mardo?,Is it Tuesday already ?,A,False
Ĉu jam estas 5 p.,Is it already 5 p. m.?,A,False
Sidi tro longe estas malbona ideo.,Sitting for too long is a bad idea .,A,False
Mi enuis ĉe la strando.,I got bored at the beach .,A,False
Estis nenio por savi post la fajro.,There was nothing to save after the fire .,A,False
Estis pluraj omaroj en la tino.,There were several lobsters in the tank .,A,False
"Ĉu ĝenus vin, se niaj amikoj venus kun ni?",Would you mind if our friends came with us ?,A,False
"Mi ŝatus, ke vi faru ĝin antaŭ la vespermanĝo.",I would like you to do it before dinner .,A,False
Iuj popkantoj ne havas talenton.,Some pop singers have no talent .,A,False
Ŝi estas FBI-agento.,She is an FBI agent .,A,False
Ŝi estas tre ekscitita pri sia baldaŭa vojaĝo.,She is very excited about her upcoming trip .,A,False
Mia onklino havis tri filinojn .,My aunt had three daughters .,A,False
"Mi pensas, ke mi devas perdi kelkajn pliajn kilogramojn.",I think I need to lose a few more kilograms .,A,False
La sekigilo manĝis mian ŝtrumpeton.,The dryer ate my sock .,A,False
Mi plenkreskis kun tri fratoj .,I grew up with three brothers .,A,False
Ĉu mi helpu vin pri viaj hejmtaskoj?,Shall I help you with your homework ?,A,False
Ĉiu rakonto diferencas de la aliaj.,Each story is different from the others .,A,False
Kiu estas via plej ŝatata japana artisto?,Who is your favorite Japanese artist ?,A,False
"Estis la tago, kiam ŝi rompis ŝian brakon .",It was the day when she broke her arm .,A,False
"Ŝi estis feliĉa, sed nun ŝi estas malgaja.",She was happy but now she is sad .,A,False
Mi ankoraŭ ne sendis ĝin.,I have n't mailed it yet .,A,False
"Mi deziras, ke ni povu diri tion al ili.",I wish we could tell them .,A,False
"Mi diris al li, ke mi faros ĝin.",I told him I would do it .,A,False
"Mi diris al vi, ke li povas fari tion.",I told you he could do it .,A,False
Kia teda instruisto!,What a boring teacher !,A,False
Ĉu vi iam estis edziĝinta?,Have you ever been married ?,A,False
Ĉu vi jam renkontis la senlaŭdulojn?,Have you met the groom yet ?,A,False
Ŝi havas nur malmultajn amikojn.,She only has a few friends .,A,False
Ĝi estas tiel varmega kiel la dezerto .,It is as hot as the desert .,A,False
"Se ĝi estis lia, kien ĝi iris?","If it was his , where did it go ?",A,False
Tiu infano havas hundidon.,That child has a puppy .,A,False
Tiu knabo ŝajnas interesita pri vi.,That boy seems interested in you .,A,False
