esperanto,english,cefr_level
Ili devas esti elĉerpitaj post sia trimonata vojaĝo en Afriko.,They must be exhausted after their three month journey in Africa .,A2
Ŝi envias vian hundon.,She is jealous of your dog .,A2
"Mi pensas, ke tiu estas lia.",I think that one is his .,A2
Ne iru naĝi tie.,Do n't go swimming over there .,A2
"Se vi volus paroli kun iu, kiu telefonus al vi?","If you wanted to talk to someone , who would you call ?",A2
Vi devas senti vin tre malsana.,You must feel very sick .,A2
Mia patrino telefonas ĉiun semajnfinon.,My mother calls every weekend .,A2
Ĉu restas iu el la legoj spagetoj el la lasta nokto?,Is there any of the vegetable spaghetti left from last night 's dinner ?,A2
La klipo estas filmo pri iuj raportistoj de Bostono .,Spotlight is a movie about some Boston reporters .,A2
"Mi preparis vespermanĝon, dum vi dormetis.",I made dinner while you were napping .,A2
"Mi venos kun vi por certiĝi, ke vi bonfartas.",I will come with you to make sure you are okay .,A2
La temperaturo malkreskis kiel minus 20 .,The temperature dropped as low as minus 20 .,A2
"Mi ne diris al ŝi, ke ŝi iru.",I did n't tell her to go .,A2
Ni devas ŝanĝi aviadilojn en Novjorko.,We have to change planes in New York .,A2
Ili ĉiuj estis postulataj surmeti kostumojn .,They were all required to wear suits .,A2
"Ni rapidis al la loko, kie ni laste vidis ŝin.",We rushed to the place where we last saw her .,A2
Ŝi kutime estas komprenema.,She is usually understanding .,A2
"Estis la instruisto, kiu skribis tion.",It was the teacher who wrote that .,A2
"Mi deziras, ke mi povu esti pli kiel vi.",I wish I could be more like you .,A2
"Mi renkontis iun, kiu ankaŭ estas el Vankuverno.",I met someone who is also from Vancouver .,A2
Mi malŝatas lundon matene.,I hate Monday morning .,A2
Ŝi tenas la ŝlosilon en florkruĉo apud la pordo.,She keeps the key in a flower pot by the door .,A2
Ili staris rigardante nin el la fenestro.,They stood watching us from the window .,A2
"La kuracisto demandis, ĉu li jam venis.",The doctor asked if he had come to yet .,A2
Kiam vi lastfoje vidis vian?,When was the last time you saw yours ?,A2
Ŝia filo iĝis dentisto.,Her son became a dentist .,A2
Ŝi invitis ĉiujn siajn amikojn al la pikniko.,She 's inviting all her friends to the picnic .,A2
"Estas proksime de la stacidomo, sed malproksime de la hejmo.",It is close to the station but far from home .,A2
Li devas klarigi ĝin.,He needs to make it clear .,A2
"Li diris, ke li devis veni.",He said he had to come .,A2
"Mi deziras scii, kiu penetris nian domon.",I wish I knew who broke in to our house .,A2
"Mi deziras, ke mi povu diri al vi, kiu respondecas pri tio, sed ni neniam povas scii ĝin.","I wish I could tell you who was responsible , but we may never know .",A2
Li promenis ĉirkaŭ la ĝardeno.,He walked around the garden .,A2
Ŝi ne volas tiun ĉi.,She does n't want this one .,A2
"Mi ne scias, kien mi iras.",I do n't know where I 'm going .,A2
"Mi ne sciis, kien vi iris.",I did n't know where you went .,A2
Ni vidis brunan muson kuri trans la straton .,We saw a brown mouse run across the road .,A2
Vi havas nenion plu.,You have nothing left .,A2
Multaj aferoj estis rompitaj.,Many things were broken .,A2
Ĉu vi purigis viajn dentojn?,Did you brush your teeth ?,A2
Ĉu vi ŝanĝis vian hararanĝon?,Have you changed your hairstyle ?,A2
Mi ne ŝanĝis ion ajn.,I have n't changed anything .,A2
Mi estas tre kontenta pri la vivo kaj ĉiutage estas plena de rido.,I am very content with life and every day is filled with laughter .,A2
Mi neniam vidis filmon pri ranoj.,I 've never seen a movie about frogs .,A2
Ĉu vi estas sur la hokeo-teamo?,Are you on the field hockey team ?,A2
Ĉu iu povas pruntedoni al mi krajonon?,Can anyone lend me a pencil ?,A2
Li malsukcesis en la ekzameno fariĝi fajrobrigadano.,He failed the test to become a firefighter .,A2
Ne ĉiuj homoj ŝatas preni siajn fotojn.,Not all people like to have their pictures taken .,A2
La hundo lernis sidi .,The dog learned to sit .,A2
Ni povas observi la aviadilojn de ĉi tie.,We can watch the planes from here .,A2
Ĉiuj serĉis la mankantajn knabojn.,Everyone looked for the missing boys .,A2
Kiu estas la israela ĉefministro nun?,Who is the Israeli prime minister now ?,A2
Ni dungis novan ĝardeniston.,We hired a new gardener .,A2
Li falis sur siajn genuojn.,He fell on his knees .,A2
"Mi diris, ke tiu filmo devas esti bona.",I said this movie must be good .,A2
"Ni estis tre proksimaj al Francio , sed la flugo estis nuligita.","We were very close to going to France , but the flight was canceled .",A2
"Tio estis la tago, kiam ni vidis ĝin .",That was the day when we saw it .,A2
Mi parolis kun ĉiuj gepatroj krom lia estado.,I 've spoken with all the parents except for his .,A2
Mi ne ŝatas porti jupojn dum vintro.,I do n't like wearing skirts during winter .,A2
"Mi aĉetas, kie mi vidas feliĉajn dungitojn.",I shop where I see happy employees .,A2
Ĉu vi freneziĝis?,Have you lost your mind ?,A2
Ĉu vi decidis?,Have you made up your mind ?,A2
"Mi scivolas, kial la homoj ankoraŭ mortas pro venteblaj malsanoj.",I wonder why people still die of curable diseases .,A2
"Li estas la viro, kies filino mankas .",He is the man whose daughter is missing .,A2
"Ĉi tiuj sportŝuoj estas tiom molaj, ke mi povus porti ilin por dormi en .",These sneakers are so soft I could wear them to sleep in .,A2
Ĉu vi ricevis kion vi volis?,Did you get what you wanted ?,A2
"Li ne sciis, kiel li devas diri tion.",He did n't know how he should state that .,A2
"Ili kolerus, se ŝi ankaŭ estus irinta.",They 'd be angry if she had gone too .,A2
"Ŝi diris, ke ŝi vidis neniun dum la tuta nokto.",She said she has not seen anyone all night .,A2
"Nenio estas tiel bona kiel mia patrino ""esfaritaj marvitaj nudeloj.""",Nothing is as good as my mother 's homemade seafood pasta .,A2
"Ne ĉiuj plenkreskuloj ĉiam pravas pri tio, kion ili faras aŭ diras.",Not all adults are always correct in what they do or say .,A2
Tio helpos al ili plibonigi ĝin.,This will help them to improve .,A2
Majo estas la nuna peza ĉampiono de la ĉampiono.,Mayweather is the current heavy weight champion .,A2
Li antaŭ nelonge komencis skatolojn.,He recently started boxing .,A2
Mia flugo forveturos je la dua horo.,My flight leaves at two o'clock .,A2
La latina estas mortinta lingvo.,Latin is a dead language .,A2
Ni longe atendis ŝian alvenon.,We waited a long time for her arrival .,A2
"Ili deziras, ke ili povu esti feliĉaj.",They wish they could be happy .,A2
Mi estas alta manaĝisto en malgranda kompanio.,I am a high- level manager in a small company .,A2
Viro vestis sin kiel policisto starigis demandojn.,A man dressed as a policeman was asking questions .,A2
"""Estas facile aĉeti silkon en Azio.",It 's easy to buy silk in Asia .,A2
Mi ŝatas mian monremonan puloveron!,I love my cashmere sweater !,A2
"Mi diris al ŝi, ke ŝi telefonu al mi, se estas iu novaĵo en lia kondiĉo.",I told her to call me if there was any news on his condition .,A2
La parko proksime de nia domo memorigas min pri nia unua rendevuo.,The park near our house reminds me of our first date .,A2
La Argo Hoshirito estis konstruita en la 1980-aj jaroj.,The Seto Ohashi Bridge was built in the 1980s .,A2
Ĉu estis hundoj en la parko?,Were there dogs at the park ?,A2
La instruisto amas pludi sur min.,The teacher loves picking on me .,A2
La aŭtovojo estas pli rapida.,The highway is faster .,A2
"Tio estas areo, kie la plej multaj homoj stiras pli ol promeni.",This is an area where most people drive rather than walk .,A2
Mi estis ekscitita ĉar Sanktaella kaj mi havis 500 dolarojn por dividi inter ni ambaŭ .,I was excited because Stella and I had 500 dollars to share between the two of us .,A2
Mi malsanas ekde la mateno.,I have been ill since morning .,A2
"Estis tiam, kiam vi malsaniĝis.",It was that time when you got sick .,A2
Ĉu la hundo sekuras por dorlotbestoj?,Is the dog safe to pet ?,A2
"Ĉu vi scias, kion la infanoj vespermanĝis hieraŭ vespere?",Do you know what the kids ate for dinner last night ?,A2
"Se ili estus irintaj norden, ni povus sekvi ilin.","If they had gone north , we could have followed them .",A2
Ne plu estas akvo.,There is no more water .,A2
Ĉu estas sufiĉe da akvo?,Is there enough water ?,A2
"Ŝia rideto diris al mi ĉion, kion mi bezonas scii.",Her smile told me everything I needed to know .,A2
Ni estas kontraŭ elefanto ĉasanta.,We are against elephant hunting .,A2
La pordoj devas esti ŝlositaj je noktomezo.,The doors must be locked by midnight .,A2
Estis multaj kunikloj en la dorlotparparparparko.,There were many rabbits at the petting zoo .,A2
Ni iris al Anglujo kaj ankaŭ al Francio.,We have been to England as well as to France .,A2
"Ĉar ŝi ne fartis bone hodiaŭ, ŝi malbone laboris.","Since she was n't feeling well today , she was working badly .",A2
Bonvolu peti vian patron telefoni al mi.,Please ask your father to call me .,A2
Ĉu estis viro aŭ virino en la aŭto?,Was there a man or a woman in the car ?,A2
Ĉu estas problemo?,Is there a problem ?,A2
Ne estas sufiĉe da salo.,There 's not enough salt .,A2
"Ŝi ne scias, kion ŝi faras.",She does n't know what she is doing .,A2
Kiu volas konduki la vojon?,Who wants to lead the way ?,A2
"Se mi estus trovita en nova urbo, mi farus vojaĝon.","If I found myself in a new city , I 'd take a tour .",A2
Freestyle neĝegilo nun estas olimpia sporto.,Freestyle snowboarding is now an Olympic sport .,A2
"Via patrino rakontis al mi ĉion pri via nova laboro, kiam mi telefonis hieraŭ vespere.",Your mother told me all about your new job when I called last night .,A2
Ŝi sidis ĉe la tablo antaŭ nia eto.,She sat at the table in front of ours .,A2
Ŝi metis marmeladon sur sian toaston.,She put jam on her toast .,A2
La plasta seĝo estas rompita.,The plastic chair is broken .,A2
Ŝi donis al li novan tason.,She gave him a new cup .,A2
Li jam malfermis ĉiujn siajn naskiĝtagajn donacojn.,He has already opened all his birthday gifts .,A2
Rigardu tiun falstelon!,Look at that shooting star !,A2
"Mi ne scias, kial li malamas min.",I do n't know why he dislikes me .,A2
"Mi ŝatus, ke vi renkontu miajn gepatrojn .",I 'd like you to meet my parents .,A2
"Mi deziras, ke ŝi povintus pardoni lin.",I wish she could have forgiven him .,A2
"Se li estis kelkajn jarojn pli aĝa, li povus aliĝi al .","If he was a few years older , he could join .",A2
"Se estus mi, mi aliĝos al .","If it were me , I 'd join .",A2
Ĉu vi povas teni sekreton?,Can you keep a secret ?,A2
"Mi sentis min malĝoja, spektante tiun filmon.",I felt sad after watching that movie .,A2
Ni havis omaron por kukea tagmanĝo.,We had lobster for Jake 's birthday dinner .,A2
Estas truo en mia sportŝuejo.,There is a hole in my sneakers .,A2
En ŝia hararo estis folioj.,There were leaves in her hair .,A2
Stadiona nutraĵo estas multekosta.,Stadium food is expensive .,A2
"Ŝi estis la virino, kies nomon oni forgesis.",She was the woman whose name was forgotten .,A2
Ŝi serĉis sian hundon.,She went looking for her dog .,A2
Ĉu vi ĵus alvenis?,Have you just arrived ?,A2
Ŝi ĵus sendis leteron al mi.,She 's just sent me a letter .,A2
"Se li iris sabate vespere, povus esti malpli da trafiko.","If he went on Saturday , there might be less traffic .",A2
"Se li estus mia patro, mi skribus al li.","If he were my father , I 'd write him .",A2
Mia nepo vizitas ofte.,My grandson visits often .,A2
Estas preskaŭ nia domo.,It is close to our house .,A2
"Li neniam aŭskultas, kion mi diras.",He never listens to what I say .,A2
Baldaŭ ekuksos en Tokio.,It will start getting chilly in Tokyo soon .,A2
Tro da ventoj por sidi ekstere.,It 's too windy to sit outside .,A2
Estas malfacile vidi vin en doloro.,It is difficult to see you in pain .,A2
Liz vekiĝis kviete.,Liz got up quietly .,A2
Ĉu estis homoj ĉe la koncerto?,Were there people at the concert ?,A2
"Ĉu vi scias, kiun libron li legis?",Do you know what book he was reading ?,A2
Mi perdis mian oran ringon.,I lost my gold ring .,A2
Ĉu vi studis la francan?,Have you been studying French ?,A2
Tiu parkejo estas plena.,That parking lot is full .,A2
Mia aŭto estis damaĝita en tiu parkejo.,My car was damaged in that parking lot .,A2
Estas planoj konstrui novan bibliotekon en mia lernejo.,There are plans to build a new library at my school .,A2
Ĉu vi jam tagmanĝis?,Have you already had your lunch ?,A2
"Ĉiutage li diras al sia edzino, ke li ne zorgu, sed mi scias, ke ŝi faras tion.",Every day he tells his wife not to worry but I know she does .,A2
Jill estis ĉiam ekscitita por manĝi melonojn.,Jill was always excited to eat melons .,A2
Mi bezonas lokon por meti mian sakon.,I need a place to put my bag .,A2
Tio estas mia sako.,This is my bag .,A2
Louis trovas modon interesa.,Louis finds fashion interesting .,A2
Li jam foriris al sia klaso .,He has already left for his class .,A2
Gloria ĉiam surhavis tre grandajn orelringojn.,Gloria always wore very big earrings .,A2
Jack tenis blankan muson kiel dombeston.,Jack kept a white mouse as a pet .,A2
Ni ne volis veki la dormantajn knabinojn.,We did n't want to wake the sleeping girls .,A2
"Ŝi komencis nombri ŝafojn, por ke ŝi povu dormi .",She started counting sheep so she could sleep .,A2
"Neniu el ili kredis, ke ili gajnos.",None of them were confident they would win .,A2
"Mi deziras, ke ili ĉesu frapi mian pordon.",I wish they would stop knocking on my door .,A2
Turkujo estis ŝia preferata sandviĉo.,Turkey sandwich was her favorite .,A2
Ĉu vi restis sendorma malfrue?,Have you been staying up late ?,A2
"Mi ne scias, kiel li faris ĝin.",I do n't know how he did it .,A2
Li ne scias kiel fari ĝin .,He does n't know how to do it .,A2
"Mi ne atendas la tagon, kiam ni havas flugantajn aŭtojn.",I ca n't wait for the day when we have flying cars .,A2
Ne estis multaj naĝantoj en la akvo .,There were not many swimmers in the water .,A2
"Se ni ĉiuj estus similaj, la vivo estus enuiga.","If we were all alike , life would be boring .",A2
Ĉiuj pladoj estis rompitaj en la tertremo.,All the dishes were broken in the earthquake .,A2
""" Tro varmas por dormi .""",It 's too hot to sleep .,A2
Vi ne tro proksimiĝu al la fajro.,You must not get too close to the fire .,A2
"Mi deziras, ke ŝi povintus vidi ĝin.",I wish she could have seen it .,A2
"Ni intencis iri kune, sed ŝi malsaniĝis.","We were planning to go together , but she got sick .",A2
Ŝi ofte surhavis sian piĵamon ĝis tagmezo.,She often wore her pajamas until noon .,A2
Kie estas la infanoj?,Where are the kids ?,A2
Li neniam parolas pri sia eksedzino.,He never talks about his ex-wife .,A2
La instruisto petis lin fermi la fenestrojn.,The teacher asked him to close the windows .,A2
Patrino ĝojis finfine akiri novan hundon post kiam Daisy mortis.,Mother was happy to finally get a new dog after Daisy died .,A2
Ĉu neĝas ĉi tie?,Does it snow here ?,A2
Li sentis sian bruston pli bone.,He felt his chest tighten .,A2
Tiu estis la momento kiam ili kantis .,That was the moment when they sang .,A2
Malmultaj homoj ŝatis ŝin.,Few people liked her .,A2
Estas piedpilkosezono en Usono.,It 's football season in America .,A2
Vi ĉiuj devus foriri.,All of you should leave .,A2
Bonvolu redoni mian libron laŭeble plej baldaŭ.,Please return my book as soon as possible .,A2
Ĉu vi renkontis nian fraton?,Have you met our brother ?,A2
Mi ne ŝatas pezan metalan muzikon.,I do n't like heavy metal music .,A2
"Sinjorino Gaga estas virino, kiun multaj junuloj ĝuas.",Lady Gaga is a woman whom many young people enjoy .,A2
Mi interesiĝis pri Japanio.,I became interested in Japan .,A2
Tiuj domoj estis konstruitaj antaŭ la milito.,These houses were built before the war .,A2
Estas malmultaj knabinoj en la piedpilka teamo .,There are few girls in the soccer team .,A2
"La virino, kiu aŭskultas la muzikon, aspektis tiel feliĉa.",The woman listening to the music looked so happy .,A2
Ŝi kuiras por sia malgranda frato.,She cooks for her little brother .,A2
Ŝia frateto ŝatis kolekti tranĉilojn.,Her little brother liked collecting pocket knives .,A2
Estos konsekvencoj.,There will be consequences .,A2
Ili geedziĝis en Romo.,They were married in Rome .,A2
"""Estas tempo por iri .",It 's time to go .,A2
La instruisto ofte donis ĉokoladon.,The teacher often gave out chocolate .,A2
"Mi deziras, ke mi povu trovi miajn gepatrojn .",I wish I could find my real parents .,A2
"Mi deziras, ke ni povintus iri al kinejo .",I wish we could have gone to the movies .,A2
La piedpilka stadiono estis plena de admirantoj .,The soccer stadium was full of fans .,A2
La viando ankoraŭ estis iom tro kruda.,The meat was still a little too raw .,A2
Ankaŭ mi ne estas malgaja.,I am not sad either .,A2
Lia avo emeritiĝis lastan jaron.,His grandfather retired last year .,A2
Mi preferas mildajn klimatojn .,I prefer mild climates .,A2
"Tio estis ŝia , kaj ŝi donis ĝin al mi kelkajn jarojn antaŭ ol ŝi mortis.","This was hers , and she gave it to me a few years before she died .",A2
Li ĉiam havis dentpikilon en sia buŝo.,He always had a toothpick in his mouth .,A2
Ŝi faros ĝin tuj kiam ŝi revenos el la tagmanĝo.,She will do it as soon as she comes back from lunch .,A2
"Ĉu vi volas, ke mi portu tion por vi?",Would you like me to carry that for you ?,A2
Li devis porti kravaton al laboro.,He had to wear a tie to work .,A2
Hodiaŭ estas plia labortago.,Today is another weekday .,A2
Vi povas uzi niajn .,You can use ours .,A2
"Mi deziras, ke mi havu katon .",I wish I had a cat .,A2
Mia presilo ne plu havas inkon.,My printer ran out of ink .,A2
Ŝiaj okuloj estis fermitaj .,Her eyes were closed .,A2
"Mi deziras, ke mi povu eliri ĉi-vespere.",I wish I could go out tonight .,A2
"Mi forlasis la domon ĝustatempe, sed la trajno malfruis.",I left the house on time but the train was late .,A2
Vi ambaŭ malfruas.,Both of you are late .,A2
Estas instruisto de Francio .,There is a teacher from France .,A2
Estis knabino hieraŭ mortigita ĉi tie.,There was a girl killed here yesterday .,A2
Li kuris ĉirkaŭ la parko .,He ran around the park .,A2
Li kuris trans la korbopilkan korton.,He ran across the basketball court .,A2
"Li demandis la instruiston, kion fari.",He asked the teacher what to do .,A2
Mi sentas necese paroli .,I feel it necessary to speak up .,A2
Ni malofte vidas unu la alian.,We rarely see each other .,A2
Ni ankoraŭ ne renkontiĝis .,We have n't met yet .,A2
Ĉiu bezonas sanigan manĝaĵon.,Everyone needs healthy food .,A2
"Carie sciis, ke ŝia fratino estas feliĉa.",Carrie knew her sister was happy .,A2
Ĉu vi donus al mi tiun blankan?,Would you hand me that white one ?,A2
"Ĉu vi pensas, ke vi ŝanĝiĝis de tio, kion vi vidis?",Do you think you were changed by what you saw ?,A2
Mi ne vidis ŝin ekde nia mezlernejo kune.,I have n't seen her since we were in high school together .,A2
Li premis la folion en la paĝoj de malnova libro.,He pressed the leaf in the pages of an old book .,A2
"Mi deziras, ke mi povu trovi mian alian ŝtrumpeton.",I wish I could find my other sock .,A2
Ni vivis en Tokio dum longa tempo.,We 've lived in Tokyo for a long time .,A2
Tio ĉi estas farita el papero.,This is made of paper .,A2
La kokino estas pli sana ol bovaĵo.,Chicken is healthier than beef .,A2
"Mi neniam renkontis lian koramikinon, sed mi vidis ŝin .",I have never met his girlfriend but I have seen her .,A2
Li havas koramikinon.,He 's got a girlfriend .,A2
Mi naskiĝis ĉi tie.,I was born here .,A2
Mi ne ĉiam aŭskultas muzikon.,I do not always listen to music .,A2
"Mi ne certas, kiam uzi tiun nekutiman forkon.",I 'm not sure when to use this unusual fork .,A2
Ci ne dorlotas hundojn aŭ policon.,You ca n't pet service dogs or police dogs .,A2
Ŝi kuras tre rapide.,She runs very fast .,A2
"Mi ne scias, kiu ŝi estas.",I do n't know who she is .,A2
La areo estis plej bona konata pro iliaj ananasoj.,The area was best known for their pineapples .,A2
Ŝi instruis siajn infanojn esti ĝentila.,She taught her children to be polite .,A2
Mi deziras esti sciencisto.,I wish I could be a scientist .,A2
Li ĉiam boligis sian brokolon.,He always boiled his broccoli .,A2
"Mi deziras, ke mi sciintus ĝin.",I wish I had known .,A2
La donaco komencis paroli .,The presenter started to speak .,A2
"Ĉu vi povas instrui al ŝi, kiel ŝi iru?",Can you teach her how to walk ?,A2
"Vi devas instrui al ŝi, kien ŝi iru.",You must teach her where to go .,A2
Ĉu jam estas mardo?,Is it Tuesday already ?,A2
Ĉu jam estas 5 p.,Is it already 5 p. m.?,A2
Sidi tro longe estas malbona ideo.,Sitting for too long is a bad idea .,A2
Mi enuis ĉe la strando.,I got bored at the beach .,A2
Estis nenio por savi post la fajro.,There was nothing to save after the fire .,A2
Estis pluraj omaroj en la tino.,There were several lobsters in the tank .,A2
"Ĉu ĝenus vin, se niaj amikoj venus kun ni?",Would you mind if our friends came with us ?,A2
Li koleriĝis.,He 's got a bad temper .,A2
"Mi ŝatus, ke vi faru ĝin antaŭ la vespermanĝo.",I would like you to do it before dinner .,A2
Iuj popkantoj ne havas talenton.,Some pop singers have no talent .,A2
Ŝi estas FBI-agento.,She is an FBI agent .,A2
Ŝi estas tre ekscitita pri sia baldaŭa vojaĝo.,She is very excited about her upcoming trip .,A2
Mia onklino havis tri filinojn .,My aunt had three daughters .,A2
"Mi pensas, ke mi devas perdi kelkajn pliajn kilogramojn.",I think I need to lose a few more kilograms .,A2
La sekigilo manĝis mian ŝtrumpeton.,The dryer ate my sock .,A2
Mi plenkreskis kun tri fratoj .,I grew up with three brothers .,A2
Ĉu mi helpu vin pri viaj hejmtaskoj?,Shall I help you with your homework ?,A2
Ĉiu rakonto diferencas de la aliaj.,Each story is different from the others .,A2
Kiu estas via plej ŝatata japana artisto?,Who is your favorite Japanese artist ?,A2
"Estis la tago, kiam ŝi rompis ŝian brakon .",It was the day when she broke her arm .,A2
"Ŝi estis feliĉa, sed nun ŝi estas malgaja.",She was happy but now she is sad .,A2
Mi ankoraŭ ne sendis ĝin.,I have n't mailed it yet .,A2
"Mi deziras, ke ni povu diri tion al ili.",I wish we could tell them .,A2
"Mi diris al li, ke mi faros ĝin.",I told him I would do it .,A2
"Mi diris al vi, ke li povas fari tion.",I told you he could do it .,A2
Kia teda instruisto!,What a boring teacher !,A2
Ĉu vi iam estis edziĝinta?,Have you ever been married ?,A2
Ĉu vi jam renkontis la senlaŭdulojn?,Have you met the groom yet ?,A2
